"voie";"arrdt";"cycling_length"
"AVENUE D ITALIE";"13";"34.06003023"
"Avenue de la Porte des Ternes";"17";"26.24976003"
"Quai de la Tournelle";"5";"11.43399002"
"Quai de la Tournelle";"5";"9.80468015"
"QUAI DE LA RAPEE";"12";"11.32639481"
"Rue de Lyon";"12";"46.79941403"
"Rue Falguière";"15";"599.51241015"
"Quai Saint Exupéry";"16";"23.71781798"
"Avenue des Champs-Elysées";"8";"171.32848478"
"Avenue des Champs-Elysées";"8";"4.40145035"
"BOULEVARD MASSENA";"13";"10.3092494"
"BOULEVARD AUGUSTE BLANQUI";"13";"24.70652238"
"BOULEVARD AUGUSTE BLANQUI";"13";"10.67953366"
"Rue Didot";"14";"5.47692402"
"Avenue de Clichy";"17";"5.74279117"
"Avenue de Clichy";"17";"9.66759154"
"AVENUE DE VILLIERS";"17";"30.01490576"
"RUE LAFAYETTE";"10";"7.19948654"
"Boulevard d'Auteuil";"16";"9.13095214"
"Rue de la Poterne des Peupliers";"13";"62.6564968"
"AVENUE JEAN JAURES";"19";"6.24397673"
"RUE DU CHATEAU DES RENTIERS";"13";"132.23817436"
"Rue Quentin-Bauchart";"8";"3.76280213"
"Avenue de la Porte de la Plaine";"15";"22.8948123"
"Rue de l'Orme";"19";"32.94165554"
"Quai André Citroën";"15";"136.75676144"
"BOULEVARD DE LA CHAPELLE";"18";"25.0446156"
"Rue François Miron";"4";"130.83004928"
"Avenue des Champs-Elysées";"8";"16.97661198"
"Avenue de la Porte Molitor";"16";"25.65634141"
"Rue Saint-Antoine";"4";"51.89890947"
"PLACE DU MARECHAL JUIN";"17";"14.02143255"
"Quai d'Austelitz";"13";"474.25324603"
"Place de l'Alma";"8";"21.10362484"
"Place de l'Alma";"8";"34.57939792"
"Place de l'Alma";"16";"8.01971255"
"Rue de la Fontaine au Roi";"11";"24.87200012"
"Boulevard Bessières";"17";"6.89254314"
"Boulevard Bessières";"17";"5.25008658"
"RUE DE CONSTANTINE";"7";"18.18592303"
"Rue de Presbourg";"16";"60.05045197"
"Rue de Presbourg";"16";"36.49464069"
"Rue de Presbourg";"8";"35.44852216"
"RUE DE LA MARSEILLAISE";"19";"8.97798677"
"Avenue de la Grande Armée";"16";"7.85714327"
"BOULEVARD DE MAGENTA";"10";"5.94901168"
"Rue de Rivoli";"4";"4.60253701"
"Boulevard Voltaire";"11";"29.63931582"
"Rue de Presbourg";"16";"29.92539385"
"Avenue du Général Laperrine";"12";"231.11240932"
"Rue Bruant";"13";"289.07924115"
"RUE DE WATTIGNIES";"12";"61.10101819"
"BOULEVARD GARIBALDI";"15";"5.32764828"
"BOULEVARD GARIBALDI";"15";"29.60636578"
"BOULEVARD BRUNE";"14";"41.79150308"
"Rue des Plantes";"14";"98.90845689"
"Rue des Plantes";"14";"21.14710077"
"Rue des Plantes";"14";"15.0050247"
"Rue des Plantes";"14";"4.24301594"
"Rue des Plantes";"14";"15.76175514"
"Boulevard Voltaire";"11";"19.13338384"
"Boulevard Voltaire";"11";"12.57355309"
"Boulevard Voltaire";"11";"9.02058046"
"AVENUE DAUMESNIL";"12";"28.65041205"
"Avenue de la Bourdonnais";"7";"124.4220072"
"Place des Insurgés de Varsovie";"15";"11.56358525"
"BOULEVARD DE GRENELLE";"15";"15.01815924"
"QUAI DE JEMMAPES";"10";"45.94713517"
"RUE RENE BOULANGER";"10";"14.08045742"
"Rue du Faubourg Poissonnière";"10";"58.82954473"
"Rue Robert Esnault-Pelterie";"7";"191.77296633"
"Rue Dugay-Trouin";"6";"64.63640112"
"Rue Van Gogh";"12";"36.24794258"
"Rue du Chevaleret";"13";"141.85655601"
"Rue Le Brun";"13";"63.60291462"
"Rue François Ier";"8";"71.78586669"
"Rue François Ier";"8";"18.32586412"
"Rue Marbeuf";"8";"23.5530861"
"Rue Saint-Jacques";"5";"56.24299023"
"Rue du Laos";"15";"255.31978885"
"Place Rio de Janeiro";"8";"13.51236831"
"Rue Marcadet";"18";"27.24405042"
"Rue de la Fédération";"15";"158.75254159"
"Rue Ordener";"18";"162.98359287"
"QUAI BRANLY";"7";"55.66068549"
"Rue Didot";"14";"21.79600267"
"Avenue de Clichy";"17";"12.89329204"
"QUAI DE VALMY";"10";"108.97417146"
"QUAI DE JEMMAPES";"10";"17.80148908"
"QUAI DE JEMMAPES";"10";"16.32901005"
"Quai d'Issy-Les-Moulineaux";"15";"260.87334598"
"Boulevard Voltaire";"11";"8.00632949"
"Place de la Bastille";"11";"27.36446241"
"Place de la Bastille";"4";"59.36548619"
"Boulevard Voltaire";"11";"35.45166569"
"Boulevard Voltaire";"11";"13.22046649"
"Boulevard Voltaire";"11";"40.3063295"
"RUE PAUL BODIN";"17";"18.48460824"
"Quai d'Austerlitz";"13";"17.68463168"
"Boulevard Berthier";"17";"11.62522719"
"Rue de Rivoli";"4";"11.40656506"
"Boulevard Voltaire";"11";"4.07607571"
"Rue du Faubourg Poissonnière";"9";"390.9450032"
"Boulevard Bessières";"17";"5.54635005"
"PORTE D AUBERVILLIERS";"19";"10.90400896"
"Boulevard Bessières";"17";"14.38836484"
"Rue de Rivoli";"4";"5.83716648"
"Place Auguste Baron";"19";"7.88501549"
"Rue de Rivoli";"4";"4.90523379"
"Rue de Rivoli";"4";"19.81292682"
"Rue de Rivoli";"4";"59.85366643"
"BOULEVARD SAINT JACQUES";"14";"7.36178752"
"Quai Anatole France";"7";"18.98341017"
"Place Léon Blum";"11";"10.38145807"
"Quai de la Tournelle";"5";"23.7929223"
"AVENUE D ITALIE";"13";"45.00361821"
"PLACE NATIONALE";"13";"32.66731561"
"BOULEVARD VINCENT AURIOL";"13";"331.98218654"
"PLACE VALHUBERT";"5";"30.69168381"
"Boulevard Bessières";"17";"39.18580562"
"Boulevard Bessières";"17";"3.32905178"
"BOULEVARD VINCENT AURIOL";"13";"38.31564081"
"SOUTERRAIN D AUSTERLITZ";"13";"78.6860972"
"BOULEVARD JOURDAN";"14";"11.24448506"
"AVENUE DE FRANCE";"13";"8.55593912"
"BOULEVARD MALESHERBES";"8";"43.44070256"
"BOULEVARD VICTOR";"15";"191.86413875"
"BOULEVARD KELLERMANN";"13";"349.75158916"
"AVENUE CLAUDE REGAUD";"13";"16.25648089"
"RUE PROUDHON";"12";"15.27798529"
"BOULEVARD BRUNE";"14";"5.67954843"
"BOULEVARD BRUNE";"14";"5.79822789"
"BOULEVARD BRUNE";"14";"5.76029806"
"BOULEVARD BRUNE";"14";"7.80866373"
"BOULEVARD BRUNE";"14";"29.09380112"
"BOULEVARD MASSENA";"13";"4.42977707"
"BOULEVARD MASSENA";"13";"19.5531883"
"RUE DE CONSTANTINE";"7";"6.22983432"
"RUE DE CONSTANTINE";"7";"15.58370456"
"RUE DE CONSTANTINE";"7";"53.62845101"
"RUE HENRY FARMAN";"15";"208.32104143"
"RUE HENRY FARMAN";"15";"31.85208181"
"RUE HENRY FARMAN";"15";"102.99473984"
"BOULEVARD JOURDAN";"14";"27.25382377"
"BOULEVARD KELLERMANN";"13";"14.54102137"
"BOULEVARD MASSENA";"13";"81.1306966"
"PLACE MARCEL CERDAN";"15";"29.18076193"
"RUE DU COMMANDANT RENE MOUCHOTTE";"14";"19.63073483"
"RUE FRIANT";"14";"20.01335752"
"PLACE DE CATALOGNE";"14";"41.98929618"
"AVENUE DE MALAKOFF";"16";"8.89908941"
"Avenue Louis Barthou";"16";"23.36838678"
"AVENUE DE SAINT CLOUD";"16";"25.24378045"
"AVENUE DE SAINT CLOUD";"16";"25.45373926"
"ROUTE DES LACS A PASSY";"16";"37.8940916"
"AVENUE DU MARECHAL FRANCHET D ESPEREY";"16";"4.55454588"
